UTC,Open,High,Low,Close,Volume
15.09.2025 00:00:00.000 UTC,1.17256,1.17276,1.17218,1.17268,1011.54
15.09.2025 01:00:00.000 UTC,1.17267,1.17294,1.17225,1.17276,1787.05
15.09.2025 02:00:00.000 UTC,1.17275,1.17292,1.17244,1.17274,1199.89
15.09.2025 03:00:00.000 UTC,1.17275,1.17342,1.17269,1.17312,1196.33
15.09.2025 04:00:00.000 UTC,1.17312,1.17353,1.17308,1.1734,913.65
15.09.2025 05:00:00.000 UTC,1.17341,1.17343,1.17278,1.17284,1024.08
15.09.2025 06:00:00.000 UTC,1.17284,1.17298,1.1716,1.1725,3201.09
15.09.2025 07:00:00.000 UTC,1.17249,1.17441,1.17241,1.17335,4138.37
15.09.2025 08:00:00.000 UTC,1.17333,1.17435,1.17298,1.17369,4443.65
15.09.2025 09:00:00.000 UTC,1.17369,1.17516,1.17359,1.17463,4050.38
15.09.2025 10:00:00.000 UTC,1.17461,1.17626,1.17461,1.17528,3364.72
15.09.2025 11:00:00.000 UTC,1.17527,1.1763,1.17527,1.17608,3613.8
15.09.2025 12:00:00.000 UTC,1.1761,1.17708,1.1761,1.17693,5182
15.09.2025 13:00:00.000 UTC,1.17692,1.17731,1.17575,1.17588,6561.47
15.09.2025 14:00:00.000 UTC,1.17588,1.17603,1.17508,1.17577,6093.4
15.09.2025 15:00:00.000 UTC,1.17578,1.1772,1.17563,1.17712,4570.64
15.09.2025 16:00:00.000 UTC,1.17712,1.17744,1.17564,1.17581,3066.15
15.09.2025 17:00:00.000 UTC,1.1758,1.17728,1.17579,1.17709,2945.69
15.09.2025 18:00:00.000 UTC,1.17711,1.17721,1.17662,1.17693,6331.77
15.09.2025 19:00:00.000 UTC,1.17694,1.17719,1.17642,1.17657,5566.73
15.09.2025 20:00:00.000 UTC,1.17656,1.17686,1.17598,1.17609,3916.59
15.09.2025 21:00:00.000 UTC,1.17606,1.17656,1.17602,1.17651,1198.2
15.09.2025 22:00:00.000 UTC,1.17651,1.17653,1.17615,1.17627,1154.81
15.09.2025 23:00:00.000 UTC,1.1763,1.17657,1.17626,1.17628,701.66
16.09.2025 00:00:00.000 UTC,1.17627,1.17661,1.17572,1.17619,2008.14
16.09.2025 01:00:00.000 UTC,1.17618,1.17691,1.1758,1.17674,2504.45
16.09.2025 02:00:00.000 UTC,1.17673,1.17773,1.17673,1.17764,2444.28
16.09.2025 03:00:00.000 UTC,1.17765,1.17866,1.17739,1.17802,3383.77
16.09.2025 04:00:00.000 UTC,1.17802,1.17802,1.17739,1.17769,2023.57
16.09.2025 05:00:00.000 UTC,1.17767,1.17802,1.17735,1.17782,1751.48
16.09.2025 06:00:00.000 UTC,1.1778,1.17912,1.17778,1.17871,6567.91
16.09.2025 07:00:00.000 UTC,1.17871,1.18017,1.17862,1.17944,7019.66
16.09.2025 08:00:00.000 UTC,1.17943,1.18037,1.179,1.17946,6438.05
16.09.2025 09:00:00.000 UTC,1.1795,1.18179,1.17947,1.1814,6184.55
